Column,Code,Class,Label,Comment,Note
LANGUAGE,*CRE,,,,
LANGUAGE,*DEA,,,,
LANGUAGE,*DUT,,,,
LANGUAGE,*FAR,,,,
LANGUAGE,*FIL,,,,
LANGUAGE,*FUL,,,,
LANGUAGE,*GUJ,,,,
LANGUAGE,*HUN,,,,
LANGUAGE,*IBO,,,,
LANGUAGE,*KHM,,,,
LANGUAGE,*LEB,,,,
LANGUAGE,*LIT,,,,
LANGUAGE,*MAN,,,,
LANGUAGE,*MOR,,,,
LANGUAGE,*NEP,,,,
LANGUAGE,*PER,,,,
LANGUAGE,*PHI,,,,
LANGUAGE,*PUN,,,,
LANGUAGE,*ROM,,,,
LANGUAGE,*RUS,,,,
LANGUAGE,*SPA,,,,
LANGUAGE,*TAM,,,,
LANGUAGE,*TEL,,,,
LANGUAGE,*TOI,,,,
LANGUAGE,*TOY,,,,
LANGUAGE,*URD,,,,
LANGUAGE,*YID,,,,
LANGUAGE,*YOR,,,,
LANGUAGE,ALBA,,Albanian,,
LANGUAGE,AMER,,American,,
LANGUAGE,ARAB,,Arababic,,
LANGUAGE,BENG,,Bengali,,
LANGUAGE,CAMB,,Cambodian,,
LANGUAGE,CANT,,Cantonese,,
LANGUAGE,CAPE,,Cape Verdean,,
LANGUAGE,ENGL,,English,,
LANGUAGE,ETHI,,Ethiopian,,
LANGUAGE,FREN,,French,,
LANGUAGE,GERM,,German,,
LANGUAGE,GREE,,Greek,,
LANGUAGE,HAIT,,Haitian Creole ,,
LANGUAGE,HIND,,Hindi,,
LANGUAGE,ITAL,,Italian,,
LANGUAGE,JAPA,,Japanese,,
LANGUAGE,KORE,,Korean,,
LANGUAGE,LAOT,,Laotian,,
LANGUAGE,MAND,,Mandarin,,
LANGUAGE,PERS,,Persian,,
LANGUAGE,POLI,,Polish,,
LANGUAGE,PORT,,Portuguese,,
LANGUAGE,PTUN,,Ptun,,
LANGUAGE,RUSS,,Russian,,
LANGUAGE,SERB,,Serbian,,
LANGUAGE,SOMA,,Somali,,
LANGUAGE,SPAN,,Spanish,,
LANGUAGE,TAGA,,Tagalog,,
LANGUAGE,THAI,,Thai,,
LANGUAGE,TURK,,Turkish,,
LANGUAGE,URDU,,Urdu,,
LANGUAGE,VIET,,Vietnamese,,
RELIGION,7TH DAY ADVENTIST,,7th Day Adventist,,
RELIGION,BAPTIST,,Baptist,,
RELIGION,BUDDHIST,,Buddhist,,
RELIGION,CATHOLIC,,Catholic,,
RELIGION,CHRISTIAN SCIENTIST,,Christian Scientist,,
RELIGION,EPISCOPALIAN,,Episcopalian,,
RELIGION,GREEK ORTHODOX,,Greek Orthodox,,
RELIGION,HEBREW,,Hebrew,,
RELIGION,HINDU,,Hindu,,
RELIGION,JEHOVAH'S WITNESS,,Jehovah's Witness,,
RELIGION,JEWISH,,Jewish,,
RELIGION,LUTHERAN,,Lutheran,,
RELIGION,METHODIST,,Methodist,,
RELIGION,MUSLIM,,Muslim,,
RELIGION,NOT SPECIFIED,,Not Specified,,
RELIGION,OTHER,,Other,,
RELIGION,PROTESTANT QUAKER,,Protestant Quaker,,
RELIGION,ROMANIAN EAST. ORTH,,Romanian East. Orth,,
RELIGION,UNITARIAN-UNIVERSALIST,,Unitarian-Universalist,,
RELIGION,UNOBTAINABLE,,Unobtainable,,
MARITAL_STATUS,MARRIED,,Married,,
MARITAL_STATUS,DIVORCED,,Divorced,,
MARITAL_STATUS,LIFE PARTNER,,Life Partner,,
MARITAL_STATUS,SEPARATED,,Separated,,
MARITAL_STATUS,SINGLE,,Single,,
MARITAL_STATUS,UNKNOWN (DEFAULT),,Unknown,,
MARITAL_STATUS,WIDOWED,,Widowed,,
ETHNICITY,AMERICAN INDIAN/ALASKA NATIVE,chear:AmericanIndianOrAlaskanNative,American Indian/Alaska Native,,
ETHNICITY,AMERICAN INDIAN/ALASKA NATIVE FEDERALLY RECOGNIZED TRIBE,chear:AmericanIndianOrAlaskanNative,American Indian/Alaska Native Federally Recognized Tribe,,
ETHNICITY,ASIAN,chear:Asian,Asian,,
ETHNICITY,ASIAN - ASIAN INDIAN,chear:Asian,Asian - Asian Indian,,
ETHNICITY,ASIAN - CAMBODIAN,chear:Asian,Asian - Cambodian,,
ETHNICITY,ASIAN - CHINESE,chear:Asian,Asian - Chinese,,
ETHNICITY,ASIAN - FILIPINO,chear:Asian,Asian - Filipino,,
ETHNICITY,ASIAN - JAPANESE,chear:Asian,Asian - Japanese,,
ETHNICITY,ASIAN - KOREAN,chear:Asian,Asian - Korean,,
ETHNICITY,ASIAN - OTHER,chear:Asian,Asian - Other,,
ETHNICITY,ASIAN - THAI,chear:Asian,Asian - Thai,,
ETHNICITY,ASIAN - VIETNAMESE,chear:Asian,Asian - Vietnamese,,
ETHNICITY,BLACK/AFRICAN,chear:BlackOrAfricanAmerican,Black/African,,
ETHNICITY,BLACK/AFRICAN AMERICAN,chear:BlackOrAfricanAmerican,Black/African American,,
ETHNICITY,BLACK/CAPE VERDEAN,chear:BlackOrAfricanAmerican,Black/Cape Verdean,,
ETHNICITY,BLACK/HAITIAN,chear:BlackOrAfricanAmerican,Black/Haitian,,
ETHNICITY,CARIBBEAN ISLAND,chear:BlackOrAfricanAmerican,Caribbean,,
ETHNICITY,HISPANIC OR LATINO,chear:HispanicOrLatino,Hispanic Or Latino,,
ETHNICITY,HISPANIC/LATINO - CENTRAL AMERICAN (OTHER),chear:HispanicOrLatino,Hispanic/Latino - Central American (OTHER),,
ETHNICITY,HISPANIC/LATINO - COLOMBIAN,chear:HispanicOrLatino,Hispanic/Latino - Colombian,,
ETHNICITY,HISPANIC/LATINO - CUBAN,chear:HispanicOrLatino,Hispanic/Latino - Cuban,,
ETHNICITY,HISPANIC/LATINO - DOMINICAN,chear:HispanicOrLatino,Hispanic/Latino - Dominican,,
ETHNICITY,HISPANIC/LATINO - GUATEMALAN,chear:HispanicOrLatino,Hispanic/Latino - Guatemalan,,
ETHNICITY,HISPANIC/LATINO - HONDURAN,chear:HispanicOrLatino,Hispanic/Latino - Honduran,,
ETHNICITY,HISPANIC/LATINO - MEXICAN,chear:HispanicOrLatino,Hispanic/Latino - Mexican,,
ETHNICITY,HISPANIC/LATINO - PUERTO RICAN,chear:HispanicOrLatino,Hispanic/Latino - Puerto Rican,,
ETHNICITY,HISPANIC/LATINO - SALVADORAN,chear:HispanicOrLatino,Hispanic/Latino - Salvadoran,,
ETHNICITY,MIDDLE EASTERN,chear:White,Middle Eastern,,
ETHNICITY,MULTI RACE ETHNICITY,chear:MultiRace,Multi Race Ethnicity,,
ETHNICITY,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,chear:NativeHawaiianOrOtherPacificIslander,Native Hawaiian Or Other Pacific Islander,,
ETHNICITY,OTHER,,Other,,
ETHNICITY,PATIENT DECLINED TO ANSWER,,Patient Declined To Answer,,
ETHNICITY,PORTUGUESE,chear:HispanicOrLatino,Portuguese,,
ETHNICITY,SOUTH AMERICAN,chear:HispanicOrLatino,South American,,
ETHNICITY,UNABLE TO OBTAIN,,Unable To Obtain,,
ETHNICITY,UNKNOWN/NOT SPECIFIED,,Unknown/Not Specified,,
ETHNICITY,WHITE,chear:White,White,,
ETHNICITY,WHITE - BRAZILIAN,chear:White,White - Brazilian,,
ETHNICITY,WHITE - EASTERN EUROPEAN,chear:White,White - Eastern European,,
ETHNICITY,WHITE - OTHER EUROPEAN,chear:White,White - Other European,,
ETHNICITY,WHITE - RUSSIAN,chear:White,White - Russian,,
